player_id,球員背號,球員姓名,球隊,出賽場次,攻擊_成功,攻擊_總數,攔網_成功,攔網_總數,發球_成功,發球_總數,接發球_成功,接發球_總數,防守_成功,防守_總數,舉球_成功,舉球_總數,得分,攻擊%,攔網%,發球%,接發球%,防守%,舉球%,攻擊%_z,攔網%_z,發球%_z,接發球%_z,防守%_z,舉球%_z,得分_z,MVP_score,MVP_rank
43,14,許惠瑩,高雄台電,101,129,373,4,48,12,180,93,265,52,154,0,0,145,34.58,8.33,6.67,35.09,33.77,,0.19639156868446603,-0.6475364101623091,1.0146222503378617,-0.05637562713553312,0.5640812214475681,,-0.39540952742236957,,47
200,5,陳亭伊,義力營造,4,7,27,1,4,0,15,8,12,6,14,0,0,8,25.93,25.0,0.0,66.67,42.86,,-0.43150976900565874,1.0920480084244668,-1.5824473024936847,1.6381472912907493,1.3370587768942561,,-0.7835589605212653,,47
38,9,蔡幼群,高雄台電,115,1212,3443,67,564,71,1319,867,1824,433,1427,0,0,1350,35.2,11.88,5.38,47.53,30.34,,0.2413972136980938,-0.27707902048126204,0.5123404327737394,0.6111311843028123,0.27240762241762934,,3.018605559323392,,47
210,10,陳芃宣,臺北鯨華,24,0,1,0,0,0,0,74,172,107,218,3,6,0,0.0,,,43.02,49.08,50.0,-2.3137619870755937,,,0.3691331361045055,1.8659829127444651,1.265342337482204,-0.8062246208482081,,47
212,21,蔡旻軒,臺北鯨華,8,0,0,0,0,0,2,0,0,0,1,6,17,0,,,0.0,,0.0,35.29,,,-1.5824473024936847,,-2.307585670459436,0.6879628665831287,-0.8062246208482081,,47
213,25,黃惠婷,臺北鯨華,16,9,31,7,18,0,26,3,4,1,12,0,0,16,29.03,38.89,0.0,75.0,8.33,,-0.2064815439375214,2.5415277669229863,-1.5824473024936847,2.0851192960561367,-1.599235501386728,,-0.7608933001943224,,47
214,6,劉映彤,新北中纖,15,0,0,0,0,1,25,5,21,3,21,0,0,1,,,4.0,23.81,14.29,,,,-0.024984302294856306,-0.6616390381503676,-1.0924207345591967,,-0.8033914133073402,,47
215,13,Natthimar Kubkaew,新北中纖,22,167,513,27,53,4,229,168,478,53,199,0,0,198,32.55,50.94,1.75,35.15,26.63,,0.049034376139847034,3.798995807953019,-0.9010572399066973,-0.05315614090673107,-0.04307606632903894,,-0.24524952775637343,,47
216,16,范張予馨,新北中纖,22,0,1,0,0,0,0,215,485,78,202,0,0,0,0.0,,,44.33,38.61,,-2.3137619870755937,,,0.43942525210002237,0.9756556294081807,,-0.8062246208482081,,47
217,17,杜家馨,新北中纖,18,5,18,0,5,0,24,0,2,2,8,0,0,5,27.78,0.0,0.0,0.0,25.0,,-0.2972187314649961,-1.5168068484843154,-1.5824473024936847,-1.939238489946751,-0.1816848028942866,,-0.7920585831438688,,47
218,18,陳妮君,新北中纖,22,33,115,4,15,7,70,55,130,19,59,0,0,44,28.7,26.67,10.0,42.31,32.2,,-0.23043616144477486,1.2663195128659737,2.3112101980033866,0.3310358823970115,0.43057464696447667,,-0.6815634890500226,,47
219,13,周竩涵,義力營造,22,78,213,5,22,5,95,14,31,23,84,0,0,88,36.62,22.73,5.26,45.16,27.38,,0.34447465872930466,0.8551639874171494,0.4656165427677746,0.48396147826512087,0.020700959697915546,,-0.5569023572518371,,47
46,22,李怡萱,高雄台電,94,0,0,0,0,0,2,865,1442,864,1577,0,0,0,,,0.0,59.99,54.79,,,,-1.5824473024936847,1.2797111578174254,2.3515386708963453,,-0.8062246208482081,,47
162,8,陳喬恩,新北中纖,34,165,361,84,214,12,262,2,14,15,89,0,0,261,45.71,39.25,4.58,14.29,16.85,,1.0043154864291008,2.5790952768624726,0.20084783273397383,-1.1724641864536676,-0.8747284857205252,,-0.06675745268169876,,47
47,4,陳莉鎔,臺北鯨華,113,42,113,18,205,11,377,0,0,90,379,866,3045,71,37.17,8.78,2.92,,23.75,28.44,0.38439902124139386,-0.6005770227379512,-0.44549931234854,,-0.2879798462725441,0.419094792099195,-0.6050668854465906,,47
72,22,陳彥臻,新北中纖,65,0,1,0,0,0,1,139,290,297,635,0,0,0,0.0,,0.0,47.93,46.77,,-2.3137619870755937,,-1.5824473024936847,0.632594425828161,1.6695496725814458,,-0.8062246208482081,,47
103,15,李子嫣,新北中纖,96,100,292,10,150,12,268,7,37,18,145,0,0,122,34.25,6.67,4.48,18.92,12.41,,0.17243695117721283,-0.8207643726610523,0.16191125772900328,-0.9240271657977558,-1.252288479800096,,-0.46057330086233017,,47
61,2,張瓈文,新北中纖,44,604,1709,59,294,20,457,8,28,154,475,0,0,683,35.34,20.07,4.38,28.57,32.42,,0.251559778701171,0.577581830642055,0.12297468272403235,-0.40622646399871765,0.4492825745990499,,1.1288561295645347,,47
220,14,宋湘薰,義力營造,8,2,8,0,0,0,7,4,14,0,4,0,0,2,25.0,,0.0,28.57,0.0,,-0.4990182365260999,,-1.5824473024936847,-0.40622646399871765,-2.307585670459436,,-0.8005582057664724,,47
58,15,許恆芸,臺北鯨華,42,154,518,15,124,14,217,19,54,65,221,0,0,183,29.73,12.1,6.45,35.19,29.41,,-0.15566871892213563,-0.2541210977404649,0.9289617853269262,-0.05100981675419624,0.19332411014420578,,-0.2877476408693912,,47
57,18,邱詩晴,臺北鯨華,96,1,1,0,2,0,2,371,753,686,1420,0,0,1,100.0,0.0,0.0,49.27,48.31,,4.945213015122382,-1.5168068484843154,-1.5824473024936847,0.7044962849380795,1.800505166023459,,-0.8033914133073402,,47
115,12,張筱玉,新北中纖,27,0,4,0,1,0,0,1,1,0,1,0,2,0,0.0,0.0,,100.0,0.0,0.0,-2.3137619870755937,-1.5168068484843154,,3.4265718913904326,-2.307585670459436,-0.6971983521815464,-0.8062246208482081,,47
